Name,New Name,Type
SWRLS,SWRLS,VAR_EXTERNAL
Wxx-SWRLS_1,Wxx-SWRLS_1,VAR_EXTERNAL
Wxx-SWRLS_2,Wxx-SWRLS_2,VAR_EXTERNAL
Wxx-SWRLS_3,Wxx-SWRLS_3,VAR_EXTERNAL
Wxx-SWRLS_4,Wxx-SWRLS_4,VAR_EXTERNAL
Wxx-SWRLS_5,Wxx-SWRLS_5,VAR_EXTERNAL
Wxx-SWRLS_6,Wxx-SWRLS_6,VAR_EXTERNAL
Wxx-SWRLS_7,Wxx-SWRLS_7,VAR_EXTERNAL
Wxx-SWRLS_8,Wxx-SWRLS_8,VAR_EXTERNAL
Wxx-SWRLS_9,Wxx-SWRLS_9,VAR_EXTERNAL
Wxx-SWRLS_10,Wxx-SWRLS_10,VAR_EXTERNAL
Wxx-SWRLS_11,Wxx-SWRLS_11,VAR_EXTERNAL
Wxx-SWRLS_12,Wxx-SWRLS_12,VAR_EXTERNAL
Wxx-SWRLS_13,Wxx-SWRLS_13,VAR_EXTERNAL
Wxx-SWRLS_14,Wxx-SWRLS_14,VAR_EXTERNAL
Wxx-SWRLS_15,Wxx-SWRLS_15,VAR_EXTERNAL
Wxx-SWRLS_16,Wxx-SWRLS_16,VAR_EXTERNAL
Wxx-SWRLS_17,Wxx-SWRLS_17,VAR_EXTERNAL
Wxx-SWRLS_18,Wxx-SWRLS_18,VAR_EXTERNAL
Wxx-SWRLS_19,Wxx-SWRLS_19,VAR_EXTERNAL
Wxx-SWRLS_20,Wxx-SWRLS_20,VAR_EXTERNAL
Wxx-SWRLS_21,Wxx-SWRLS_21,VAR_EXTERNAL
Wxx-SWRLS_22,Wxx-SWRLS_22,VAR_EXTERNAL
Wxx-SWRLS_23,Wxx-SWRLS_23,VAR_EXTERNAL
Wxx-SWRLS_24,Wxx-SWRLS_24,VAR_EXTERNAL
Wxx-SWRLS_25,Wxx-SWRLS_25,VAR_EXTERNAL
Wxx-SWRLS_26,Wxx-SWRLS_26,VAR_EXTERNAL
Wxx-SWRLS_27,Wxx-SWRLS_27,VAR_EXTERNAL
Wxx-SWRLS_28,Wxx-SWRLS_28,VAR_EXTERNAL
Wxx-SWRLS_29,Wxx-SWRLS_29,VAR_EXTERNAL
Wxx-SWRLS_30,Wxx-SWRLS_30,VAR_EXTERNAL
Wxx-SWRLS_31,Wxx-SWRLS_31,VAR_EXTERNAL
Wxx-SWRLS_32,Wxx-SWRLS_32,VAR_EXTERNAL
Wxx-SWRLS_33,Wxx-SWRLS_33,VAR_EXTERNAL
Wxx-SWRLS_34,Wxx-SWRLS_34,VAR_EXTERNAL
Wxx-SWRLS_35,Wxx-SWRLS_35,VAR_EXTERNAL
Wxx-SWRLS_36,Wxx-SWRLS_36,VAR_EXTERNAL
Wxx-SWRLS_37,Wxx-SWRLS_37,VAR_EXTERNAL
Wxx-SWRLS_38,Wxx-SWRLS_38,VAR_EXTERNAL
Wxx-SWRLS_39,Wxx-SWRLS_39,VAR_EXTERNAL
Wxx-SWRLS_40,Wxx-SWRLS_40,VAR_EXTERNAL
Wxx-SWRLS_41,Wxx-SWRLS_41,VAR_EXTERNAL
Wxx-SWRLS_42,Wxx-SWRLS_42,VAR_EXTERNAL
Wxx-SWRLS_43,Wxx-SWRLS_43,VAR_EXTERNAL
Wxx-SWRLS_44,Wxx-SWRLS_44,VAR_EXTERNAL
Wxx-SWRLS_45,Wxx-SWRLS_45,VAR_EXTERNAL
Wxx-SWRLS_46,Wxx-SWRLS_46,VAR_EXTERNAL
Wxx-SWRLS_47,Wxx-SWRLS_47,VAR_EXTERNAL
Wxx-SWRLS_48,Wxx-SWRLS_48,VAR_EXTERNAL
Wxx-SWRLS_49,Wxx-SWRLS_49,VAR_EXTERNAL
Wxx-SWRLS_50,Wxx-SWRLS_50,VAR_EXTERNAL
Wxx-SWRLS_51,Wxx-SWRLS_51,VAR_EXTERNAL
Wxx-SWRLS_52,Wxx-SWRLS_52,VAR_EXTERNAL
Wxx-SWRLS_53,Wxx-SWRLS_53,VAR_EXTERNAL
Wxx-SWRLS_54,Wxx-SWRLS_54,VAR_EXTERNAL
Wxx-SWRLS_55,Wxx-SWRLS_55,VAR_EXTERNAL
Wxx-SWRLS_56,Wxx-SWRLS_56,VAR_EXTERNAL
Wxx-SWRLS_57,Wxx-SWRLS_57,VAR_EXTERNAL
Wxx-SWRLS_58,Wxx-SWRLS_58,VAR_EXTERNAL
Wxx-SWRLS_59,Wxx-SWRLS_59,VAR_EXTERNAL
Wxx-SWRLS_60,Wxx-SWRLS_60,VAR_EXTERNAL
