Name,New Name,Type
Axx-ECR_1,Axx-ECR_1,VAR_EXTERNAL
Axx-ECR_2,Axx-ECR_2,VAR_EXTERNAL
Axx-ECR_3,Axx-ECR_3,VAR_EXTERNAL
Axx-ECR_4,Axx-ECR_4,VAR_EXTERNAL
Axx-ECR_5,Axx-ECR_5,VAR_EXTERNAL
Axx-W/ETP_1,Axx-W/ETP_1,VAR_EXTERNAL
Axx-W/ETP_2,Axx-W/ETP_2,VAR_EXTERNAL
Axx-W/ETP_3,Axx-W/ETP_3,VAR_EXTERNAL
Axx-W/ETP_4,Axx-W/ETP_4,VAR_EXTERNAL
Axx-W/ETP_5,Axx-W/ETP_5,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_1,J/JL/Lxx-EC-G-RD_1,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_2,J/JL/Lxx-EC-G-RD_2,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_3,J/JL/Lxx-EC-G-RD_3,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_4,J/JL/Lxx-EC-G-RD_4,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_5,J/JL/Lxx-EC-G-RD_5,VAR_EXTERNAL
J/JL/Lxx-xx-E-L_1,J/JL/Lxx-xx-E-L_1,VAR_EXTERNAL
J/JL/Lxx-xx-E-L_2,J/JL/Lxx-xx-E-L_2,VAR_EXTERNAL
J/JL/Lxx-xx-E-L_3,J/JL/Lxx-xx-E-L_3,VAR_EXTERNAL
J/JL/Lxx-xx-E-L_4,J/JL/Lxx-xx-E-L_4,VAR_EXTERNAL
J/JL/Lxx-xx-E-L_5,J/JL/Lxx-xx-E-L_5,VAR_EXTERNAL
J/JL/Lxx-xx-E-REQ_1,J/JL/Lxx-xx-E-REQ_1,VAR_EXTERNAL
J/JL/Lxx-xx-E-REQ_2,J/JL/Lxx-xx-E-REQ_2,VAR_EXTERNAL
J/JL/Lxx-xx-E-REQ_3,J/JL/Lxx-xx-E-REQ_3,VAR_EXTERNAL
J/JL/Lxx-xx-E-REQ_4,J/JL/Lxx-xx-E-REQ_4,VAR_EXTERNAL
J/JL/Lxx-xx-E-REQ_5,J/JL/Lxx-xx-E-REQ_5,VAR_EXTERNAL
J/JL/Lxx-xx-T-L_1,J/JL/Lxx-xx-T-L_1,VAR_EXTERNAL
J/JL/Lxx-xx-T-L_2,J/JL/Lxx-xx-T-L_2,VAR_EXTERNAL
J/JL/Lxx-xx-T-L_3,J/JL/Lxx-xx-T-L_3,VAR_EXTERNAL
J/JL/Lxx-xx-T-L_4,J/JL/Lxx-xx-T-L_4,VAR_EXTERNAL
J/JL/Lxx-xx-T-L_5,J/JL/Lxx-xx-T-L_5,VAR_EXTERNAL
J/JLxx-ECR_1,J/JLxx-ECR_1,VAR_EXTERNAL
J/JLxx-ECR_1-1,J/JLxx-ECR_1-1,VAR_EXTERNAL
J/JLxx-ECR_1-2,J/JLxx-ECR_1-2,VAR_EXTERNAL
J/JLxx-ECR_1-3,J/JLxx-ECR_1-3,VAR_EXTERNAL
J/JLxx-ECR_1-4,J/JLxx-ECR_1-4,VAR_EXTERNAL
J/JLxx-ECR_1-5,J/JLxx-ECR_1-5,VAR_EXTERNAL
J/JLxx-ECR_1-6,J/JLxx-ECR_1-6,VAR_EXTERNAL
J/JLxx-ECR_1-7,J/JLxx-ECR_1-7,VAR_EXTERNAL
J/JLxx-ECR_1-8,J/JLxx-ECR_1-8,VAR_EXTERNAL
J/JLxx-ECR_1-9,J/JLxx-ECR_1-9,VAR_EXTERNAL
J/JLxx-ECR_1-10,J/JLxx-ECR_1-10,VAR_EXTERNAL
J/JLxx-ECR_1-11,J/JLxx-ECR_1-11,VAR_EXTERNAL
J/JLxx-ECR_1-12,J/JLxx-ECR_1-12,VAR_EXTERNAL
J/JLxx-ECR_1-13,J/JLxx-ECR_1-13,VAR_EXTERNAL
J/JLxx-ECR_1-14,J/JLxx-ECR_1-14,VAR_EXTERNAL
J/JLxx-ECR_1-15,J/JLxx-ECR_1-15,VAR_EXTERNAL
J/JLxx-ECR_2,J/JLxx-ECR_2,VAR_EXTERNAL
J/JLxx-ECR_2-1,J/JLxx-ECR_2-1,VAR_EXTERNAL
J/JLxx-ECR_2-2,J/JLxx-ECR_2-2,VAR_EXTERNAL
J/JLxx-ECR_2-3,J/JLxx-ECR_2-3,VAR_EXTERNAL
J/JLxx-ECR_2-4,J/JLxx-ECR_2-4,VAR_EXTERNAL
J/JLxx-ECR_2-5,J/JLxx-ECR_2-5,VAR_EXTERNAL
J/JLxx-ECR_2-6,J/JLxx-ECR_2-6,VAR_EXTERNAL
J/JLxx-ECR_2-7,J/JLxx-ECR_2-7,VAR_EXTERNAL
J/JLxx-ECR_2-8,J/JLxx-ECR_2-8,VAR_EXTERNAL
J/JLxx-ECR_2-9,J/JLxx-ECR_2-9,VAR_EXTERNAL
J/JLxx-ECR_2-10,J/JLxx-ECR_2-10,VAR_EXTERNAL
J/JLxx-ECR_2-11,J/JLxx-ECR_2-11,VAR_EXTERNAL
J/JLxx-ECR_2-12,J/JLxx-ECR_2-12,VAR_EXTERNAL
J/JLxx-ECR_2-13,J/JLxx-ECR_2-13,VAR_EXTERNAL
J/JLxx-ECR_2-14,J/JLxx-ECR_2-14,VAR_EXTERNAL
J/JLxx-ECR_2-15,J/JLxx-ECR_2-15,VAR_EXTERNAL
J/JLxx-ECR_3,J/JLxx-ECR_3,VAR_EXTERNAL
J/JLxx-ECR_3-1,J/JLxx-ECR_3-1,VAR_EXTERNAL
J/JLxx-ECR_3-2,J/JLxx-ECR_3-2,VAR_EXTERNAL
J/JLxx-ECR_3-3,J/JLxx-ECR_3-3,VAR_EXTERNAL
J/JLxx-ECR_3-4,J/JLxx-ECR_3-4,VAR_EXTERNAL
J/JLxx-ECR_3-5,J/JLxx-ECR_3-5,VAR_EXTERNAL
J/JLxx-ECR_3-6,J/JLxx-ECR_3-6,VAR_EXTERNAL
J/JLxx-ECR_3-7,J/JLxx-ECR_3-7,VAR_EXTERNAL
J/JLxx-ECR_3-8,J/JLxx-ECR_3-8,VAR_EXTERNAL
J/JLxx-ECR_3-9,J/JLxx-ECR_3-9,VAR_EXTERNAL
J/JLxx-ECR_3-10,J/JLxx-ECR_3-10,VAR_EXTERNAL
J/JLxx-ECR_3-11,J/JLxx-ECR_3-11,VAR_EXTERNAL
J/JLxx-ECR_3-12,J/JLxx-ECR_3-12,VAR_EXTERNAL
J/JLxx-ECR_3-13,J/JLxx-ECR_3-13,VAR_EXTERNAL
J/JLxx-ECR_3-14,J/JLxx-ECR_3-14,VAR_EXTERNAL
J/JLxx-ECR_3-15,J/JLxx-ECR_3-15,VAR_EXTERNAL
J/JLxx-ECR_4,J/JLxx-ECR_4,VAR_EXTERNAL
J/JLxx-ECR_4-1,J/JLxx-ECR_4-1,VAR_EXTERNAL
J/JLxx-ECR_4-2,J/JLxx-ECR_4-2,VAR_EXTERNAL
J/JLxx-ECR_4-3,J/JLxx-ECR_4-3,VAR_EXTERNAL
J/JLxx-ECR_4-4,J/JLxx-ECR_4-4,VAR_EXTERNAL
J/JLxx-ECR_4-5,J/JLxx-ECR_4-5,VAR_EXTERNAL
J/JLxx-ECR_4-6,J/JLxx-ECR_4-6,VAR_EXTERNAL
J/JLxx-ECR_4-7,J/JLxx-ECR_4-7,VAR_EXTERNAL
J/JLxx-ECR_4-8,J/JLxx-ECR_4-8,VAR_EXTERNAL
J/JLxx-ECR_4-9,J/JLxx-ECR_4-9,VAR_EXTERNAL
J/JLxx-ECR_4-10,J/JLxx-ECR_4-10,VAR_EXTERNAL
J/JLxx-ECR_4-11,J/JLxx-ECR_4-11,VAR_EXTERNAL
J/JLxx-ECR_4-12,J/JLxx-ECR_4-12,VAR_EXTERNAL
J/JLxx-ECR_4-13,J/JLxx-ECR_4-13,VAR_EXTERNAL
J/JLxx-ECR_4-14,J/JLxx-ECR_4-14,VAR_EXTERNAL
J/JLxx-ECR_4-15,J/JLxx-ECR_4-15,VAR_EXTERNAL
