Name,New Name,Type
W11A/21A_1,W11A/21A_1,vFC 65 LOCKING POINT
W11A/21A_2,W11A/21A_2,vFC 65 LOCKING POINT
W11A/21A_3,W11A/21A_3,vFC 65 LOCKING POINT
W11A/21A_4,W11A/21A_4,vFC 65 LOCKING POINT
W11A/21A_5,W11A/21A_5,vFC 65 LOCKING POINT
W11A/21A_6,W11A/21A_6,vFC 65 LOCKING POINT
W11A/21A_7,W11A/21A_7,vFC 65 LOCKING POINT
W11A/21A_8,W11A/21A_8,vFC 65 LOCKING POINT
W11A/21A_9,W11A/21A_9,vFC 65 LOCKING POINT
W11A/21A_10,W11A/21A_10,vFC 65 LOCKING POINT
Wxx-L_1,Wxx-L_1,VAR_EXTERNAL
Wxx-L_2,Wxx-L_2,VAR_EXTERNAL
Wxx-L_3,Wxx-L_3,VAR_EXTERNAL
Wxx-L_4,Wxx-L_4,VAR_EXTERNAL
Wxx-L_5,Wxx-L_5,VAR_EXTERNAL
Wxx-L_6,Wxx-L_6,VAR_EXTERNAL
Wxx-L_7,Wxx-L_7,VAR_EXTERNAL
Wxx-L_8,Wxx-L_8,VAR_EXTERNAL
Wxx-L_9,Wxx-L_9,VAR_EXTERNAL
Wxx-L_10,Wxx-L_10,VAR_EXTERNAL
Wxx-TPZ_1-1,Wxx-TPZ_1-1,VAR_EXTERNAL
Wxx-TPZ_1-2,Wxx-TPZ_1-2,VAR_EXTERNAL
Wxx-TPZ_1-3,Wxx-TPZ_1-3,VAR_EXTERNAL
Wxx-TPZ_1-4,Wxx-TPZ_1-4,VAR_EXTERNAL
Wxx-TPZ_1-5,Wxx-TPZ_1-5,VAR_EXTERNAL
Wxx-TPZ_1-6,Wxx-TPZ_1-6,VAR_EXTERNAL
Wxx-TPZ_1-7,Wxx-TPZ_1-7,VAR_EXTERNAL
Wxx-TPZ_1-8,Wxx-TPZ_1-8,VAR_EXTERNAL
Wxx-TPZ_1-9,Wxx-TPZ_1-9,VAR_EXTERNAL
Wxx-TPZ_1-10,Wxx-TPZ_1-10,VAR_EXTERNAL
Wxx-TPZ_2-1,Wxx-TPZ_2-1,VAR_EXTERNAL
Wxx-TPZ_2-2,Wxx-TPZ_2-2,VAR_EXTERNAL
Wxx-TPZ_2-3,Wxx-TPZ_2-3,VAR_EXTERNAL
Wxx-TPZ_2-4,Wxx-TPZ_2-4,VAR_EXTERNAL
Wxx-TPZ_2-5,Wxx-TPZ_2-5,VAR_EXTERNAL
Wxx-TPZ_2-6,Wxx-TPZ_2-6,VAR_EXTERNAL
Wxx-TPZ_2-7,Wxx-TPZ_2-7,VAR_EXTERNAL
Wxx-TPZ_2-8,Wxx-TPZ_2-8,VAR_EXTERNAL
Wxx-TPZ_2-9,Wxx-TPZ_2-9,VAR_EXTERNAL
Wxx-TPZ_2-10,Wxx-TPZ_2-10,VAR_EXTERNAL
Wxx-TPZ_3-1,Wxx-TPZ_3-1,VAR_EXTERNAL
Wxx-TPZ_3-2,Wxx-TPZ_3-2,VAR_EXTERNAL
Wxx-TPZ_3-3,Wxx-TPZ_3-3,VAR_EXTERNAL
Wxx-TPZ_3-4,Wxx-TPZ_3-4,VAR_EXTERNAL
Wxx-TPZ_3-5,Wxx-TPZ_3-5,VAR_EXTERNAL
Wxx-TPZ_3-6,Wxx-TPZ_3-6,VAR_EXTERNAL
Wxx-TPZ_3-7,Wxx-TPZ_3-7,VAR_EXTERNAL
Wxx-TPZ_3-8,Wxx-TPZ_3-8,VAR_EXTERNAL
Wxx-TPZ_3-9,Wxx-TPZ_3-9,VAR_EXTERNAL
Wxx-TPZ_3-10,Wxx-TPZ_3-10,VAR_EXTERNAL
Wxx-TPZ_4-1,Wxx-TPZ_4-1,VAR_EXTERNAL
Wxx-TPZ_4-2,Wxx-TPZ_4-2,VAR_EXTERNAL
Wxx-TPZ_4-3,Wxx-TPZ_4-3,VAR_EXTERNAL
Wxx-TPZ_4-4,Wxx-TPZ_4-4,VAR_EXTERNAL
Wxx-TPZ_4-5,Wxx-TPZ_4-5,VAR_EXTERNAL
Wxx-TPZ_4-6,Wxx-TPZ_4-6,VAR_EXTERNAL
Wxx-TPZ_4-7,Wxx-TPZ_4-7,VAR_EXTERNAL
Wxx-TPZ_4-8,Wxx-TPZ_4-8,VAR_EXTERNAL
Wxx-TPZ_4-9,Wxx-TPZ_4-9,VAR_EXTERNAL
Wxx-TPZ_4-10,Wxx-TPZ_4-10,VAR_EXTERNAL
Wxx-TPZ_5-1,Wxx-TPZ_5-1,VAR_EXTERNAL
Wxx-TPZ_5-2,Wxx-TPZ_5-2,VAR_EXTERNAL
Wxx-TPZ_5-3,Wxx-TPZ_5-3,VAR_EXTERNAL
Wxx-TPZ_5-4,Wxx-TPZ_5-4,VAR_EXTERNAL
Wxx-TPZ_5-5,Wxx-TPZ_5-5,VAR_EXTERNAL
Wxx-TPZ_5-6,Wxx-TPZ_5-6,VAR_EXTERNAL
Wxx-TPZ_5-7,Wxx-TPZ_5-7,VAR_EXTERNAL
Wxx-TPZ_5-8,Wxx-TPZ_5-8,VAR_EXTERNAL
Wxx-TPZ_5-9,Wxx-TPZ_5-9,VAR_EXTERNAL
Wxx-TPZ_5-10,Wxx-TPZ_5-10,VAR_EXTERNAL
Wxx-TPZ_6-1,Wxx-TPZ_6-1,VAR_EXTERNAL
Wxx-TPZ_6-2,Wxx-TPZ_6-2,VAR_EXTERNAL
Wxx-TPZ_6-3,Wxx-TPZ_6-3,VAR_EXTERNAL
Wxx-TPZ_6-4,Wxx-TPZ_6-4,VAR_EXTERNAL
Wxx-TPZ_6-5,Wxx-TPZ_6-5,VAR_EXTERNAL
Wxx-TPZ_6-6,Wxx-TPZ_6-6,VAR_EXTERNAL
Wxx-TPZ_6-7,Wxx-TPZ_6-7,VAR_EXTERNAL
Wxx-TPZ_6-8,Wxx-TPZ_6-8,VAR_EXTERNAL
Wxx-TPZ_6-9,Wxx-TPZ_6-9,VAR_EXTERNAL
Wxx-TPZ_6-10,Wxx-TPZ_6-10,VAR_EXTERNAL
Wxx-TPZ_7-1,Wxx-TPZ_7-1,VAR_EXTERNAL
